location_name,location_url,search_rank,search_term,location_found
St. Paul's Chapel,https://www.tripadvisor.com/Attraction_Review-g60763-d105055-Reviews-St_Paul_s_Chapel-New_York_City_New_York.html,40,New York,"New York City, New York"
Ellis Island,https://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,41,New York,"New York City, New York"
St Joseph's Chapel Catholic Memorial at Ground Zero,https://www.tripadvisor.com/Attraction_Review-g60763-d2263727-Reviews-St_Joseph_s_Chapel_Catholic_Memorial_at_Ground_Zero-New_York_City_New_York.html,42,New York,"New York City, New York"
West Village,https://www.tripadvisor.com/Attraction_Review-g60763-d5550170-Reviews-West_Village-New_York_City_New_York.html,43,New York,"New York City, New York"
SoHo,https://www.tripadvisor.com/Attraction_Review-g60763-d143362-Reviews-SoHo-New_York_City_New_York.html,44,New York,"New York City, New York"
Christmas Spectacular Starring the Radio City Rockettes,https://www.tripadvisor.com/Attraction_Review-g60763-d10749293-Reviews-Christmas_Spectacular_Starring_the_Radio_City_Rockettes-New_York_City_New_York.html,45,New York,"New York City, New York"
Roosevelt Island Aerial Tram,https://www.tripadvisor.com/Attraction_Review-g60763-d548557-Reviews-Roosevelt_Island_Aerial_Tram-New_York_City_New_York.html,46,New York,"New York City, New York"
Chrysler Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,47,New York,"New York City, New York"
Washington Square Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136354-Reviews-Washington_Square_Park-New_York_City_New_York.html,48,New York,"New York City, New York"
Cathedral Church of Saint John the Divine,https://www.tripadvisor.com/Attraction_Review-g60763-d136029-Reviews-Cathedral_Church_of_Saint_John_the_Divine-New_York_City_New_York.html,49,New York,"New York City, New York"
Bike Tours (47),https://www.tripadvisor.com/Attractions-g60763-Activities-c61-t214-New_York_City_New_York.html,50,New York,"New York City, New York"
Flatiron Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104363-Reviews-Flatiron_Building-New_York_City_New_York.html,51,New York,"New York City, New York"
Conservatory Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d272517-Reviews-Conservatory_Garden-New_York_City_New_York.html,52,New York,"New York City, New York"
Lower Manhattan,https://www.tripadvisor.com/Attraction_Review-g60763-d607078-Reviews-Lower_Manhattan-New_York_City_New_York.html,53,New York,"New York City, New York"
Gift & Specialty Shops (572),https://www.tripadvisor.com/Attractions-g60763-Activities-c26-t144-New_York_City_New_York.html,54,New York,"New York City, New York"
Ellis Island Immigration Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1597190-Reviews-Ellis_Island_Immigration_Museum-New_York_City_New_York.html,55,New York,"New York City, New York"
The Oculus,https://www.tripadvisor.com/Attraction_Review-g60763-d10340693-Reviews-The_Oculus-New_York_City_New_York.html,56,New York,"New York City, New York"
Upper West Side,https://www.tripadvisor.com/Attraction_Review-g60763-d143368-Reviews-Upper_West_Side-New_York_City_New_York.html,57,New York,"New York City, New York"
Manhattan Bridge,https://www.tripadvisor.com/Attraction_Review-g60763-d136066-Reviews-Manhattan_Bridge-New_York_City_New_York.html,58,New York,"New York City, New York"
Trinity Church,https://www.tripadvisor.com/Attraction_Review-g60763-d105054-Reviews-Trinity_Church-New_York_City_New_York.html,59,New York,"New York City, New York"
Riverside Park,https://www.tripadvisor.com/Attraction_Review-g60763-d548731-Reviews-Riverside_Park-New_York_City_New_York.html,60,New York,"New York City, New York"
