product_name	product_url
Samsung Galaxy S7 Edge 32GB (Bạc) - Hàng nhập khẩu(Bạc 32GB)	http://www.lazada.vn/samsung-galaxy-s7-edge-32gb-bac-hang-nhap-khaubac-32gb-3082022.html
Xiaomi Redmi Note 3 Pro 16GB ( Vàng ) - Hàng nhập khẩu	http://www.lazada.vn/xiaomi-redmi-note-3-pro-16gb-vang-hang-nhap-khau-2136984.html
Xiaomi Redmi 4A 16GB 2GB Ram (Vàng Hồng) - Hàng nhập khẩu(Hồng 16GB)	http://www.lazada.vn/xiaomi-redmi-4a-16gb-2gb-ram-vang-hong-hang-nhap-khau-3080923.html
Xiaomi Redmi Note 4 16GB (vàng) - Hàng nhập khẩu	http://www.lazada.vn/xiaomi-redmi-note-4-16gb-vang-hang-nhap-khau-2713724.html
Điện thoại Oppo F1 16 Gb Ram 3Gb ( vàng ) - Hãng phân phốichínhthức	http://www.lazada.vn/dien-thoai-oppo-f1-16-gb-ram-3gb-vang-hang-phan-phoichinhthuc-3089848.html
Oppo F1S 32GB (Vàng) - Hãng phân phối chính thức	http://www.lazada.vn/oppo-f1s-32gb-vang-hang-phan-phoi-chinh-thuc-2758272.html
Samsung Galaxy J3 Pro 16GB 2 Sim (Vàng) - Hàng nhập khẩu	http://www.lazada.vn/samsung-galaxy-j3-pro-16gb-vang-hang-nhap-khau-2713836.html
Apple iPhone 7 128GB (Đen)  - Hàng nhập khẩu	http://www.lazada.vn/apple-iphone-7-128gb-den-nham-hang-nhap-khau-2763398.html
Xiaomi Mi Max 32GB (Bạc) - Hàng nhập khẩu	http://www.lazada.vn/xiaomi-mi-max-32gb-bac-hang-nhap-khau-2189602.html
Apple iPhone 7 32GB (Bạc)  - Hàng nhập khẩu	http://www.lazada.vn/apple-iphone-7-32gb-bac-hang-nhap-khau-2763422.html
Apple iPhone 7 128GB (Đen bóng)  - Hàng nhập khẩu	http://www.lazada.vn/apple-iphone-7-128gb-den-bong-hang-nhap-khau-2763397.html
Apple iPhone 7 Plus 32GB (Bạc)  - Hàng nhập khẩu	http://www.lazada.vn/apple-iphone-7-plus-32gb-bac-hang-nhap-khau-2763428.html
Xiaomi Mi5 32GB (Trắng) - Hàng nhập khẩu	http://www.lazada.vn/xiaomi-mi5-32gb-trang-hang-nhap-khau-2092509.html
