addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
File Search 38p,https://addons.mozilla.org/en-US/firefox/addon/file-search-1/?src=search,84,,4.2 KiB,20130910,2013-09-10T09:42:35Z,0,0.0,38p,,False,Firefox,pdf
Link Alert,https://addons.mozilla.org/en-US/firefox/addon/link-alert/?src=search,85,50595,123.3 KiB,1.0.6,2016-11-17T12:47:58Z,124,4.1371,Conlan Wesson,https://www.cwesson.net/projects/LinkAlert/,False,Firefox,pdf
Always Preview (WebExtension),https://addons.mozilla.org/en-US/firefox/addon/always-preview-webextension/?src=search,86,127,5.7 KiB,1.7,2017-04-30T19:23:40Z,0,0.0,def00111,,False,Firefox,pdf
Molybdenum,https://addons.mozilla.org/en-US/firefox/addon/molybdenum/?src=search,87,40,342.0 KiB,0.7.3,2009-08-22T03:53:28Z,9,3.6667,Claas Thiele,http://molyb.org,False,Firefox,pdf
Google Docs Preview,https://addons.mozilla.org/en-US/firefox/addon/google-docs-preview/?src=search,88,2,17.0 KiB,1.1,2010-03-23T04:58:17Z,9,3.4444,Marton Trencseni,http://bytepawn.com,False,Firefox,pdf
Gaaiho-addon,https://addons.mozilla.org/en-US/firefox/addon/gaaiho-addon/?src=search,89,6,91.4 KiB,0.1,2015-07-23T01:37:55Z,0,0.0,Jay Huang,,False,Firefox,pdf
MS Academic Gucker,https://addons.mozilla.org/en-US/firefox/addon/ms-academic-gucker/?src=search,90,14,216.2 KiB,initial.rev1.1.1-signed.1-signed,2013-06-19T14:36:23Z,0,0.0,Ossip Groth,http://www.kidney.de/,False,Firefox,pdf
DeepDyve Plugin,https://addons.mozilla.org/en-US/firefox/addon/deepdyve-plugin-1/?src=search,91,1976,138.4 KiB,1.9.0.1-signed,2015-11-11T12:42:25Z,3,4.3333,DeepDyve,http://www.deepdyve.com/,False,Firefox,pdf
Fox-Extras for Australis ReDesigned by Ansgar,https://addons.mozilla.org/en-US/firefox/addon/fox-extras/?src=search,92,29,257.1 KiB,2.0.1-signed,2015-06-05T01:43:34Z,0,0.0,Ansgar,,False,Firefox,pdf
IPA opnametool,https://addons.mozilla.org/en-US/firefox/addon/ipa-opnametool/?src=search,93,39,223.7 KiB,1.1,2016-10-18T15:26:59Z,0,0.0,Iris Hoekstra-Roscam Abbing,,False,Firefox,pdf
rollApp File Opener,https://addons.mozilla.org/en-US/firefox/addon/rollapp-file-opener/?src=search,94,8313,65.6 KiB,1.3.12.1-signed.1-signed,2014-11-06T01:35:22Z,18,3.7778,rollApp,http://www.rollapp.com/,False,Firefox,pdf
Toolbar PDFBoos,https://addons.mozilla.org/en-US/firefox/addon/toolbar-pdfboos/?src=search,95,2,29.5 KiB,1.00.1-signed.1-signed,2013-07-09T16:18:08Z,0,0.0,miko karmin,http://www.pdfboos.com/,False,Firefox,pdf
Dictionary (Google™ Translate) Anywhere,https://addons.mozilla.org/en-US/firefox/addon/dictionary-anywhere/?src=search,96,14685,72.5 KiB,0.2.1,2016-11-17T10:45:57Z,50,4.64,Jeremy Schomery,,False,Firefox,pdf
RUAnnoyed,https://addons.mozilla.org/en-US/firefox/addon/ruannoyed/?src=search,97,1,10.8 KiB,1.0.1-signed.1-signed,2013-06-17T05:37:48Z,0,0.0,David Yates,,False,Firefox,pdf
Breton Language Pack for Firefox,https://addons.mozilla.org/en-US/firefox/addon/breton-language-pack-for-firef/?src=search,98,21988,449.2 KiB,53.0,2017-04-19T13:46:14Z,0,0.0,boulc'hurun!,,False,Firefox,pdf
Norton Identity Safe,https://addons.mozilla.org/en-US/firefox/addon/norton-identity-safe/?src=search,99,63876,576.0 KiB,2.0.65,2017-01-13T00:32:47Z,61,1.9016,DL-ENG-MAC-BFW,http://www.symantec.com/index.jsp,False,Firefox,pdf
Labmeeting,https://addons.mozilla.org/en-US/firefox/addon/labmeeting/?src=search,100,2,10.0 KiB,0.88,2009-11-14T07:17:44Z,3,5.0,labmeeting,http://www.labmeeting.com,False,Firefox,pdf
Evernote Web Clipper,https://addons.mozilla.org/en-US/firefox/addon/evernote-web-clipper/?src=search,101,309867,3.7 MiB,6.10.2.0,2016-12-14T09:10:03Z,931,2.4168,Evernote,http://www.evernote.com/,False,Firefox,pdf
Norton Safe Web,https://addons.mozilla.org/en-US/firefox/addon/norton-safe-web/?src=search,102,4046,889.7 KiB,1.0.1.5,2017-01-13T00:14:00Z,0,0.0,DL-ENG-MAC-BFW,http://www.symantec.com/index.jsp,False,Firefox,pdf
Print for Firefox,https://addons.mozilla.org/en-US/firefox/addon/print-for-firefox/?src=search,103,1013,113.8 KiB,2.1.0.9,2016-09-16T20:12:05Z,2,4.5,Stefan vd,https://www.stefanvd.net/,False,Firefox,pdf
Image Video Block,https://addons.mozilla.org/en-US/firefox/addon/image-video-block/?src=search,104,1885,10.7 KiB,1.1,2016-09-18T15:23:58Z,3,4.0,tiborbarsi,,False,Firefox,pdf
Online Convert,https://addons.mozilla.org/en-US/firefox/addon/online-convert/?src=search,105,11866,18.3 KiB,1.4.1-signed.1-signed,2012-01-27T03:20:50Z,26,4.1923,Schtorch,http://www.bierkandt.org/,False,Firefox,pdf
Video Assistant,https://addons.mozilla.org/en-US/firefox/addon/video-assistant/?src=search,106,7809,6.8 KiB,1.0.4,2016-03-12T02:26:45Z,21,4.3333,mraddon,,False,Firefox,pdf
Norton Safe Search,https://addons.mozilla.org/en-US/firefox/addon/norton-safe-search/?src=search,107,8237,23.8 KiB,1.0.1.5,2017-01-13T00:18:37Z,1,1.0,DL-ENG-MAC-BFW,http://www.symantec.com/index.jsp,False,Firefox,pdf
iMacros for Firefox,https://addons.mozilla.org/en-US/firefox/addon/imacros-for-firefox/?src=search,108,594823,426.1 KiB,9.0.3,2016-08-08T14:53:35Z,460,4.2217,"Ipswitch, Inc.",http://imacros.net/,False,Firefox,pdf
Print Edit WE,https://addons.mozilla.org/en-US/firefox/addon/print-edit-we/?src=search,109,859,76.7 KiB,18.0,2017-03-14T13:31:07Z,6,2.8333,DW-dev,,False,Firefox,pdf
Science,https://addons.mozilla.org/en-US/firefox/addon/science-sequereeu/?src=search,110,,2.0 KiB,20090911,2009-09-11T04:36:40Z,0,0.0,,,False,Firefox,pdf
scihubify,https://addons.mozilla.org/en-US/firefox/addon/scihubify/?src=search,111,478,17.8 KiB,0.2.2,2016-05-03T15:54:36Z,0,0.0,Reverend Wicks Cherrycoke,,False,Firefox,pdf
Push to Kindle,https://addons.mozilla.org/en-US/firefox/addon/kindle-it/?src=search,112,7586,24.9 KiB,1.7.1,2017-03-14T20:55:40Z,38,4.3684,FiveFilters.org,http://fivefilters.org/,False,Firefox,pdf
Kool Games,https://addons.mozilla.org/en-US/firefox/addon/kool-games/?src=search,113,4,10.1 KiB,1.1.1-signed.1-signed,2013-06-23T05:44:57Z,0,0.0,Raviteja vadapalli,,False,Firefox,pdf
Textmarker,https://addons.mozilla.org/en-US/firefox/addon/textmarkerpro/?src=search,114,4161,94.9 KiB,1.5.1,2016-07-03T13:38:59Z,24,4.7917,underflyingbirches,,False,Firefox,pdf
Color That Site!,https://addons.mozilla.org/en-US/firefox/addon/color-that-site/?src=search,115,6242,217.5 KiB,0.17,2016-06-02T15:12:53Z,74,4.3784,Michael-Donning,http://www.informenta.de,False,Firefox,pdf
PatentlyUseful(tm) For the USPTO,https://addons.mozilla.org/en-US/firefox/addon/patentlyusefultm-for-the-uspto/?src=search,116,429,35.3 KiB,0.7.7.1-signed.1-signed,2011-06-30T13:58:45Z,8,4.5,PatentlyUseful,http://PatentlyUseful.com,False,Firefox,pdf
