addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Facebook™ Tracking & Ad Removal,https://addons.mozilla.org/en-US/firefox/addon/facebook-tracking-removal/?src=search,27,955,20.0 KiB,1.4.1,2017-04-30T17:26:00Z,7,3.8571,Z,,False,Firefox,facebook
Facebook Page Revealer (Uncover),https://addons.mozilla.org/en-US/firefox/addon/facebook-page-revealer-uncover/?src=search,28,538,11.3 KiB,1.0.0,2016-08-01T00:35:22Z,2,5.0,China-Cheats,http://china-cheats.com/,False,Firefox,facebook
Messenger & Notifier for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/facebook-messenger-1/?src=search,29,3188,58.1 KiB,0.1.5,2016-07-26T08:48:46Z,22,4.0,glin,,False,Firefox,facebook
Facebook Online Notifier,https://addons.mozilla.org/en-US/firefox/addon/facebook-online-notifier/?src=search,30,177,11.1 KiB,1.0,2016-11-10T22:13:20Z,2,5.0,Nadir Laskar,http://nadirlaskar.in,False,Firefox,facebook
Facebook Chat Encrypter,https://addons.mozilla.org/en-US/firefox/addon/facebook-chat-encrypter/?src=search,31,262,43.4 KiB,0.0.9,2016-02-01T11:25:09Z,2,5.0,crypter,https://crypter.co.uk/,False,Firefox,facebook
Sidebar view for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/fastest-facebook-sdk/?src=search,32,143,42.7 KiB,0.1.0,2016-09-01T05:44:01Z,1,1.0,James Fray,,False,Firefox,facebook
Facebook - No Ads in News Feed,https://addons.mozilla.org/en-US/firefox/addon/facebook-no-ads-in-news-feed/?src=search,33,476,34.2 KiB,0.0.8,2016-12-26T11:54:12Z,11,4.0909,Arafat Husayn,,False,Firefox,facebook
Hector - Facebook Blocker/Rehab,https://addons.mozilla.org/en-US/firefox/addon/hector-facebook-blocker-rehab/?src=search,34,120,7.2 KiB,0.0.2,2016-08-28T23:36:33Z,0,0.0,billaros,,False,Firefox,facebook
Remove Facebook Ads,https://addons.mozilla.org/en-US/firefox/addon/remove-facebook-ads/?src=search,35,244,45.1 KiB,1.0,2017-01-30T20:04:02Z,1,2.0,SUA,,False,Firefox,facebook
"Shareaholic | share with Google, Facebook and more",https://addons.mozilla.org/en-US/firefox/addon/shareaholic-share-links-fast/?src=search,36,7743,167.6 KiB,3.0.1.1-signed.1-signed,2011-07-19T06:35:54Z,254,3.7362,The Shareaholic Team,http://www.shareaholic.com,False,Firefox,facebook
iFamebook (Facebook Profile Visitors),https://addons.mozilla.org/en-US/firefox/addon/ifamebook/?src=search,37,4421,749.1 KiB,4.03.1-signed,2015-02-20T05:41:13Z,60,2.9333,Roberto Dapino,http://www.stormvision.it/,False,Firefox,facebook
This Is Facebook,https://addons.mozilla.org/en-US/firefox/addon/this-is-facebook/?src=search,38,70,123.0 KiB,0.2.0,2015-12-06T11:46:50Z,3,2.6667,bash,,False,Firefox,facebook
Get Image From Facebook,https://addons.mozilla.org/en-US/firefox/addon/get-image-from-facebook/?src=search,39,193,16.2 KiB,0.1.1-signed.1-signed,2015-01-29T03:03:56Z,2,3.0,Nhan Van,,False,Firefox,facebook
Facebook Chat Packman,https://addons.mozilla.org/en-US/firefox/addon/facebook-chat-packman/?src=search,40,21,9.7 KiB,1.1.0,2016-10-17T01:44:34Z,0,0.0,OverflowExploit,,False,Firefox,facebook
Facebook Beacon Blocker,https://addons.mozilla.org/en-US/firefox/addon/facebook-beacon-blocker/?src=search,41,37,32.0 KiB,1.0.0,2009-01-24T22:15:34Z,7,3.5714,yongqli,,False,Firefox,facebook
Hide Facebook Ad Column,https://addons.mozilla.org/en-US/firefox/addon/facebook-hide-ad-column/?src=search,42,89,5.1 KiB,1.0,2016-11-04T13:10:22Z,0,0.0,Ijus,,False,Firefox,facebook
FB Chat History Manager,https://addons.mozilla.org/en-US/firefox/addon/facebook-chat-history-manager/?src=search,43,6471,68.8 KiB,1.5.1-signed.1-signed,2012-03-21T00:22:12Z,48,2.9792,AddonWorks,http://apps.facebook.com/firechm,False,Firefox,facebook
FB unseen,https://addons.mozilla.org/en-US/firefox/addon/facebook-unseen/?src=search,44,2609,177.6 KiB,2.0,2017-01-05T21:29:39Z,3,3.6667,Horizonsoft,http://horizonsoft.net/,False,Firefox,facebook
FaceFont : Emoticons and Facebook notifications,https://addons.mozilla.org/en-US/firefox/addon/facefont/?src=search,45,2048,895.0 KiB,7.0.2,2016-07-04T00:24:36Z,5,4.0,Stéphane Kouadio,,False,Firefox,facebook
Ad Blocker for Facebook™,https://addons.mozilla.org/en-US/firefox/addon/fb_ad_block/?src=search,46,2516,19.0 KiB,1.3.2,2017-03-16T06:10:22Z,9,3.7778,yan12125,,False,Firefox,facebook
Ads Blocker for Facebook,https://addons.mozilla.org/en-US/firefox/addon/ads-blocker-for-facebook/?src=search,47,33,84.6 KiB,1.0.1,2017-02-13T22:41:26Z,0,0.0,DevApps,,False,Firefox,facebook
Pimp My Facebook Skin!,https://addons.mozilla.org/en-US/firefox/addon/pimp-my-facebook-skin/?src=search,48,14,2.0 KiB,0.4,2010-02-12T04:26:34Z,7,3.2857,nitsanush,http://nitsan.binnun.co.il,False,Firefox,facebook
remove all facebook ads,https://addons.mozilla.org/en-US/firefox/addon/remove-all-facebook-ads/?src=search,49,51,7.0 KiB,0.1,2009-04-19T13:07:22Z,25,2.8,soccer9124,,False,Firefox,facebook
PictureMate - View hidden Facebook pictures,https://addons.mozilla.org/en-US/firefox/addon/picturemate-view-hidden-facebo/?src=search,50,3256,1.3 MiB,1.0.10.1-signed.1-signed,2015-02-15T18:19:29Z,16,3.1875,PictureMate - View hidden Facebook pictures,http://getpicturebook.com/,False,Firefox,facebook
HoFF - [Hide Offline Facebook Friends],https://addons.mozilla.org/en-US/firefox/addon/hide-offline-facebook-friends/?src=search,51,21,14.9 KiB,1.5.6,2017-01-27T06:57:10Z,3,5.0,Narender Thakur,http://blogpad.pw,False,Firefox,facebook
Auto-Hack-Tool - Facebook Game Id's Extractor,https://addons.mozilla.org/en-US/firefox/addon/auto-hack-tool/?src=search,52,1116,8.9 KiB,0.5.0,2017-04-10T04:25:16Z,18,4.2222,Helmit,https://www.facebook.com/helmitdev/,False,Firefox,facebook
Show Facebook Computer Vision Tags,https://addons.mozilla.org/en-US/firefox/addon/show-computer-vision-tags/?src=search,53,1360,23.5 KiB,0.0.1,2017-01-02T23:48:03Z,8,2.75,Adam Geitgey,,False,Firefox,facebook
Facebook Sticker Remover,https://addons.mozilla.org/en-US/firefox/addon/facebook-sticker-remover/?src=search,54,4,29.6 KiB,1.0,2017-04-01T07:15:37Z,0,0.0,Marcelo Fabiano,http://www.marcelofabiano.com,False,Firefox,facebook
Hide Facebook Feed,https://addons.mozilla.org/en-US/firefox/addon/hide-facebook-feed/?src=search,55,265,15.6 KiB,0.0.3,2015-09-05T09:55:55Z,5,3.2,Marina Limeira,http://marinalimeira.com/,False,Firefox,facebook
"QCLean:Remove Facebook Ads,Suggested Pages&Posts",https://addons.mozilla.org/en-US/firefox/addon/qclean/?src=search,56,3443,28.1 KiB,0.4.1.1-signed.1-signed,2015-01-24T19:28:21Z,20,3.25,Qing-Cheng Li,http://blog.qcl.tw/,False,Firefox,facebook
Facebook friends feed,https://addons.mozilla.org/en-US/firefox/addon/facebook-friends-feed/?src=search,57,215,77.7 KiB,1.7.2,2016-03-31T06:19:06Z,4,4.75,"Esteban ""Chino"" Saracho",,False,Firefox,facebook
Facebook™ Direct Links,https://addons.mozilla.org/en-US/firefox/addon/facebook-direct-links/?src=search,58,162,20.6 KiB,1.0.1,2016-12-23T12:18:08Z,2,4.5,Daniele Mte90 Scasciafratte,http://www.mte90.net/,False,Firefox,facebook
Comments Filter for Facebook,https://addons.mozilla.org/en-US/firefox/addon/comments-filter-for-facebook/?src=search,59,75,48.6 KiB,1.0.1.1-signed.1-signed,2014-10-01T12:15:11Z,4,4.25,Yakushin Anton,,False,Firefox,facebook
