addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
Youtube mp3 for Android,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-for-android/?src=search,25,167,7.8 KiB,Version 0.1.0,2016-07-22T12:41:21Z,4,3.0,Dwytex,,True,Firefox,mp3
Amazon MP3 Daily Deal Button,https://addons.mozilla.org/en-US/firefox/addon/amazon-mp3-daily-deal-button/?src=search,26,203,23.3 KiB,Version 1.1.1-signed.1-signed,2011-01-23T19:58:56Z,0,0.0,Frugal Gadgets,http://www.frugalgadgets.com,True,Firefox,mp3
YouTube to Mp3 Converter fuzna,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-fuzna/?src=search,27,494,55.1 KiB,Version 1.4,2017-04-03T23:02:22Z,2,4.5,irinaser,http://fuzna.com,True,Firefox,mp3
Youtube MP3 Downloader using youtube-mp3.org,https://addons.mozilla.org/en-US/firefox/addon/youtube-hq-mp3-downloader/?src=search,28,34153,13.0 KiB,Version 0.1.1-signed.1-signed,2014-01-12T04:35:41Z,76,3.7368,Yasser,,True,Firefox,mp3
MP3Skip - Free MP3's,https://addons.mozilla.org/en-US/firefox/addon/mp3-downloads/?src=search,29,0,1.0 KiB,Version 20110402,2011-04-02T16:57:23Z,2,3.0,MP3 Search,http://mp3skip.com/,True,Firefox,mp3
Easy YouTube to MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/easy-youtube-to-mp3-converter/?src=search,30,4668,173.9 KiB,Version 1.0.rev9.1-signed.1-signed,2013-04-08T06:57:59Z,24,1.6667,YouTube Mp3 Yukle,http://www.youtubemp3yukle.com/,True,Firefox,mp3
Youtube to MP3 Plugin,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-plugin/?src=search,31,5610,19.9 KiB,Version 2.3.2-signed,2015-07-02T07:21:07Z,8,3.125,Hotger,,True,Firefox,mp3
Youtube To MP3 PRO,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-pro/?src=search,32,7559,175.3 KiB,Version 1.40.rev44.1.1-signed.1-signed,2013-06-19T14:43:13Z,70,3.1714,youtubemp3pro.com,http://www.youtubemp3pro.com/,True,Firefox,mp3
x-MuZiC.cOm / YouTube mp3,https://addons.mozilla.org/en-US/firefox/addon/x-muzic/?src=search,33,753,15.1 KiB,Version 1.1.2.1-signed.1-signed,2015-03-07T04:21:25Z,1,1.0,Anton Dimitrov,http://x-muzic.com/,True,Firefox,mp3
MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/mp3-converter/?src=search,34,423,8.5 KiB,Version 1.0.4.1-signed.1-signed,2012-12-03T11:34:36Z,1,1.0,Mp3converter,http://download.cnet.com/MP3-Converter/3000-2140_4-75747802.html,True,Firefox,mp3
Free Mp3 Music Search for Download,https://addons.mozilla.org/en-US/firefox/addon/mp3-search/?src=search,35,0,1.0 KiB,Version 20100814,2010-08-14T05:22:35Z,9,4.0,urmaul,http://urmaul.com,True,Firefox,mp3
Bee MP3,https://addons.mozilla.org/en-US/firefox/addon/bee-mp3/?src=search,36,0,1.0 KiB,Version 20100206,2010-02-06T07:50:40Z,4,3.5,Mehdi Dirbaz,http://www.dirbaz.com,True,Firefox,mp3
YouTube MP3 Download,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-searchplugin/?src=search,37,0,723 Bytes,Version 20160509,2016-05-09T09:06:52Z,3,3.6667,dLehr,,True,Firefox,mp3
Simple YouTube MP3,https://addons.mozilla.org/en-US/firefox/addon/simple-youtube-mp3/?src=search,38,0,619 Bytes,Version 20161216,2016-12-16T15:11:55Z,1,5.0,dLehr,,True,Firefox,mp3
YouTube MP3 Download,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-download/?src=search,39,4067,41.2 KiB,Version 1.0.1-signed.1-signed,2014-05-08T10:23:31Z,2,3.0,youtubedownload,http://www.youtube-download.org/,True,Firefox,mp3
YouTube MP3 Downloader for Firefox,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-downloader-for-fir/?src=search,40,2141,22.1 KiB,Version 0.8.2,2015-07-13T07:54:13Z,12,3.5833,FirefoxAdon,,True,Firefox,mp3
Convert YouTube to MP3,https://addons.mozilla.org/en-US/firefox/addon/convert-youtube-to-mp3/?src=search,41,997,126.1 KiB,Version 1.0.2.1-signed.1-signed,2012-06-10T22:54:14Z,9,2.8889,Awada,,True,Firefox,mp3
Best Youtube Mp3 Download,https://addons.mozilla.org/en-US/firefox/addon/best-youtube-mp3-download/?src=search,42,580,13.4 KiB,Version 0.1.1-signed.1-signed,2015-03-30T02:54:32Z,4,2.0,jaisonisac,http://www.megawrz.com/,True,Firefox,mp3
Youtube playlist converter to MP3,https://addons.mozilla.org/en-US/firefox/addon/youtube-playlist-converter-/?src=search,43,1935,197.4 KiB,Version v1.0.rev73.1-signed.1-signed,2013-10-27T14:10:38Z,9,2.4444,Youtubeplaylist-mp3.com,http://youtubeplaylist-mp3.com/,True,Firefox,mp3
Youbeatz.net- YouTube to MP3 Converter Online,https://addons.mozilla.org/en-US/firefox/addon/youtube2mp3-converter-online/?src=search,44,996,774.2 KiB,Version 1.1.0,2016-12-02T18:45:15Z,2,4.5,Youbeatz_net,http://youbeatz.net/,True,Firefox,mp3
YoutubeMp3,https://addons.mozilla.org/en-US/firefox/addon/youtubemp3/?src=search,45,10824,12.9 KiB,Version 1.0,2016-12-03T23:52:22Z,11,3.5455,othmane,,True,Firefox,mp3
YouTube MP3 Converter,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-converter-1/?src=search,46,443,15.3 KiB,Version 1.0.1-signed.1-signed,2011-09-13T09:16:22Z,6,2.3333,mp3extract.com,http://www.mp3extract.com/,True,Firefox,mp3
Télécharger YouTube MP3,https://addons.mozilla.org/en-US/firefox/addon/t%C3%A9l%C3%A9charger-youtube-mp3/?src=search,47,676,36.0 KiB,Version 2.0,2016-04-10T13:09:10Z,2,5.0,Anonymous user f4c650,,True,Firefox,mp3
MP3Cow,https://addons.mozilla.org/en-US/firefox/addon/mp3cow/?src=search,48,120,118.4 KiB,Version 0.1.2,2015-10-22T16:56:37Z,0,0.0,MP3Cow,,True,Firefox,mp3
YouTube MP3 Easy Downloader,https://addons.mozilla.org/en-US/firefox/addon/youtube-mp3-easy-downloader/?src=search,49,1180,8.7 KiB,Version 1.1.1-signed.1-signed,2014-03-12T18:00:55Z,3,3.6667,devbro,,True,Firefox,mp3
Mp3-Get.com Search MP3,https://addons.mozilla.org/en-US/firefox/addon/mp3-get/?src=search,50,0,758 Bytes,Version 20130116,2013-01-16T19:52:20Z,0,0.0,Victor San Martin,http://victorsanmartin.com/,True,Firefox,mp3
MP3 Downloader,https://addons.mozilla.org/en-US/firefox/addon/mp3downloader/?src=search,51,0,663 Bytes,Version 20160924,2016-09-24T08:47:37Z,1,1.0,dLehr,,True,Firefox,mp3
Youtube to mp3 converter - AudioThief.com,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-converter-at/?src=search,52,938,426.0 KiB,Version 2.0.0.1-signed.1-signed,2012-07-08T04:30:34Z,9,2.7778,Audiothief,http://www.audiothief.com/,True,Firefox,mp3
Youtube MP3 converter - Download with Save to mp3,https://addons.mozilla.org/en-US/firefox/addon/save-to-mp3-addon/?src=search,53,4349,10.3 KiB,Version 1.0.0,2017-01-10T16:25:23Z,8,4.75,Vince,http://savetomp3.com,True,Firefox,mp3
Youtube to Mp3 | Mp3Grabby,https://addons.mozilla.org/en-US/firefox/addon/youtube-to-mp3-mp3grabby/?src=search,54,182,16.9 KiB,Version 1.0.1,2016-03-27T08:40:38Z,3,5.0,Mp3Grabby,,True,Firefox,mp3
