addon_name,addon_url,search_rank,search_term,platform
WoT RS - World of Tanks Рейтинги и статистика,https://chrome.google.com/webstore/detail/wot-rs-world-of-tanks-%D1%80%D0%B5%D0%B9/plhgaahcpcehcapmjpilnpenaiiibbia,178,news,Chrome
BBC Sports News Feed,https://chrome.google.com/webstore/detail/bbc-sports-news-feed/gmgflcbibadokaklfkoncejlecndkknn,179,news,Chrome
Media Mirror,https://chrome.google.com/webstore/detail/media-mirror/cmfajndhebcijlkdllghfohhfbkaipmg,180,news,Chrome
Better Fox News,https://chrome.google.com/webstore/detail/better-fox-news/gpeegiacncibheagdgpgcllafcdcmain,181,news,Chrome
Hacker News: Mark All Read,https://chrome.google.com/webstore/detail/hacker-news-mark-all-read/fghfahcbhpdeeaaofcefaoodmfejieok,182,news,Chrome
Cruzeiro News,https://chrome.google.com/webstore/detail/cruzeiro-news/odblgldbdfgoongnhiadikechoccbiep,183,news,Chrome
GCUF News Caster,https://chrome.google.com/webstore/detail/gcuf-news-caster/pfdmilmlopblmoojggfacmdemdodknog,184,news,Chrome
College Basketball News,https://chrome.google.com/webstore/detail/college-basketball-news/lbjfchofagfblofekkeeingmfobikold,185,news,Chrome
Hacker News Lookup,https://chrome.google.com/webstore/detail/hacker-news-lookup/ekfmfhhfalhmiacchemmhapffjaolffo,186,news,Chrome
Talking Web,https://chrome.google.com/webstore/detail/talking-web/hdeikpphnbclpacdjdjjkpmbcacopnog,187,news,Chrome
Hacker News Tweak,https://chrome.google.com/webstore/detail/hacker-news-tweak/egohkpmjomkefbidmbkjiefkihenmkck,188,news,Chrome
Haxor News,https://chrome.google.com/webstore/detail/haxor-news/gjaggfmpckomkgemlbgpoacjbgpacndc,189,news,Chrome
Personal news extension.,https://chrome.google.com/webstore/detail/personal-news-extension/egddcfgloagfefgjlmbajfgolapdbgpd,190,news,Chrome
This Is Fake,https://chrome.google.com/webstore/detail/this-is-fake/peeibjiaceaafioopngfaneonhcdbmhb,191,news,Chrome
Yahoo! Cricket,https://chrome.google.com/webstore/detail/yahoo-cricket/ogmoafgeaapfomfohkbmcibjpajndmmn,192,news,Chrome
Naver News Comments Block,https://chrome.google.com/webstore/detail/naver-news-comments-block/cianjjiobeieddekljmhlcphpmbagglp,193,news,Chrome
News Feed Eradicator for LinkedIn,https://chrome.google.com/webstore/detail/news-feed-eradicator-for/fcnlpkohldehaafajgejaplghjojeekg,194,news,Chrome
InShorts,https://chrome.google.com/webstore/detail/inshorts/ihdhfdeffimajgfmlfhhnhkckfedaikd,195,news,Chrome
Discovery channel News,https://chrome.google.com/webstore/detail/discovery-channel-news/kpghhnieiolmfhfaapkbfdgeapeinpph,196,news,Chrome
Atlético Madrid News,https://chrome.google.com/webstore/detail/atl%C3%A9tico-madrid-news/eiejnmbppklldemhpdppgchlenonkmck,197,news,Chrome
News Search,https://chrome.google.com/webstore/detail/news-search/pbljkehablhbmagcoenahcfnokpiaphh,198,news,Chrome
Pulse by Zerodha,https://chrome.google.com/webstore/detail/pulse-by-zerodha/bjclahdopnlbobebbaomknljkkcljfmp,199,news,Chrome
Hacker News Infinite Scrolling,https://chrome.google.com/webstore/detail/hacker-news-infinite-scro/boghlppglbnfcjiiahhiagdjboocohca,200,news,Chrome
Facebook News-feed Destroyer,https://chrome.google.com/webstore/detail/facebook-news-feed-destro/mhgobppjcolopimacndhnomlmodhgpne,201,news,Chrome
Animal Planet News,https://chrome.google.com/webstore/detail/animal-planet-news/dkmaefpllmdmkpdgadjokeboekcemncf,202,news,Chrome
GameofSpoils: Game of Thrones Spoiler Blocker,https://chrome.google.com/webstore/detail/gameofspoils-game-of-thro/ipjhpmdippbajafafidlinjjmfkdamci,203,news,Chrome
