addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
BlackBook - Black Facebook™ Theme 2016,https://chrome.google.com/webstore/detail/blackbook-black-facebook/okpcdcghabcmbmiebocochplpfmhmcop,24,10371,75.07KiB,2016.10.28.0,"October 28, 2016",181,4.17127071823,addtochrome.com,http://addtochrome.com,False,Chrome,facebook
"Mogicons FREE! Secret Emoticon, Smiley, Emoji",https://chrome.google.com/webstore/detail/mogicons-free-secret-emot/injmgiaajomkfnamlkpdgngkmobckllp,25,15368,381KiB,2016.10.25.2,"October 30, 2016",275,4.61818181818,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Classic for Facebook,https://chrome.google.com/webstore/detail/classic-for-facebook/ffdodpcdalagnkbkojidmmcehlnhniad,26,26597,386KiB,2.32.10,"April 12, 2017",472,3.68855932203,classicforfacebook.com,http://classicforfacebook.com,False,Chrome,facebook
Best Simple Facebook Notifications,https://chrome.google.com/webstore/detail/best-simple-facebook-noti/meofonckdkomjeigbnlkgbfmcjfoboem,27,10482,88.59KiB,3.2,"November 28, 2016",96,4.19791666667,hozhan,,False,Chrome,facebook
Friend Remover PRO - Delete Facebook™ Friends,https://chrome.google.com/webstore/detail/friend-remover-pro-delete/ekjblaihiicbgjibfipjoepkmondnnbd,28,59353,338KiB,2016.10.28.0,"October 28, 2016",2173,4.68246663599,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Invite All Friends on Facebook,https://chrome.google.com/webstore/detail/invite-all-friends-on-fac/inmmhkeajgflmokoaaoadgkhhmibjbpj,29,723588,22.82KiB,1.8.3,"April 20, 2017",65294,4.72394094404,Mohammed N. El-Madhoun,,False,Chrome,facebook
News Feed Eradicator for Facebook,https://chrome.google.com/webstore/detail/news-feed-eradicator-for/fjcldmjmjhkklehbacihaiopjklihlgg,30,106363,352KiB,1.0.4,"December 9, 2016",703,4.57752489331,JDev,http://news-feed-eradicator.west.io/,False,Chrome,facebook
Facebook Token Plus,https://chrome.google.com/webstore/detail/facebook-token-plus/akffcidbpjkelabblddmebpfbldgfdpi,31,5702,116KiB,1.1.8,"April 22, 2017",29,4.10344827586,digitalsafeskill.com,http://digitalsafeskill.com,False,Chrome,facebook
GIFUR - Send GIFs for Facebook Messenger,https://chrome.google.com/webstore/detail/gifur-send-gifs-for-faceb/khnndjccielhjjpnibphnhjcdnokhgkc,32,25356,304KiB,1.1.6,"September 7, 2016",453,4.75496688742,gifur.me,http://gifur.me,False,Chrome,facebook
Disconnect for Facebook™,https://chrome.google.com/webstore/detail/disconnect-for-facebook/elppmalckcjenppijmclcgfbmdnnhegl,33,8928,120KiB,0.1.6,"January 18, 2017",37,3.37837837838,chYer,http://mybrowseraddon.com/facebook-disconnect.html,False,Chrome,facebook
Ensky's Album Downloader for Facebook,https://chrome.google.com/webstore/detail/enskys-album-downloader-f/oallcdoceahndjmaalbicbcgpfnajgae,34,50072,174KiB,2.5.7,"January 28, 2016",232,3.57327586207,www.ensky.tw,http://www.ensky.tw,False,Chrome,facebook
Blue Messenger,https://chrome.google.com/webstore/detail/blue-messenger/ecmfchgfmbbddembehpkopmhjiepcckd,35,86423,1.89MiB,10.5,"April 30, 2017",1512,3.90542328042,www.oinkandstuff.com,http://www.oinkandstuff.com,False,Chrome,facebook
DarkBook - Dark Skins & Themes for Facebook™,https://chrome.google.com/webstore/detail/darkbook-dark-skins-theme/aifhjcplaekgefgliikaohpdaogcpjgb,36,3454,84.44KiB,2016.10.28.0,"October 28, 2016",82,4.12195121951,addtochrome.com,http://addtochrome.com,False,Chrome,facebook
PhotoLive - Download Facebook Photos!,https://chrome.google.com/webstore/detail/photolive-download-facebo/fpjnpabklnaaifclgealaepelncljadk,37,69041,63.36KiB,3.0.1,"September 29, 2013",1504,2.84042553191,getphotolive.com,http://getphotolive.com,False,Chrome,facebook
Group Invite All 2016 for Facebook™,https://chrome.google.com/webstore/detail/group-invite-all-2016-for/adihbpeifioihdpdmgefgahdlembhiob,38,3377,68.24KiB,2016.10.31.0,"October 31, 2016",106,4.54716981132,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Show Facebook Computer Vision Tags,https://chrome.google.com/webstore/detail/show-facebook-computer-vi/elafbihhbfmfihdflghclaclcilcnmie,39,16126,21.51KiB,0.0.1,"January 2, 2017",91,3.04395604396,ageitgey,https://github.com/ageitgey/show-facebook-computer-vision-tags,False,Chrome,facebook
Facebook Anti Malware,https://chrome.google.com/webstore/detail/facebook-anti-malware/npfeahicbknalnphfgnamdokmknaidni,40,2676,190KiB,1.8.5,"April 2, 2017",110,4.82727272727,Armen Stepanyan,,False,Chrome,facebook
Invite All Friends Facebook 2017,https://chrome.google.com/webstore/detail/invite-all-friends-facebo/jkaiginiaigndjcfdichbigjlecheofe,41,11961,53.72KiB,1.3.6,"April 22, 2017",372,4.71774193548,digitalsafeskill.com,http://digitalsafeskill.com,False,Chrome,facebook
J2TeaM Security,https://chrome.google.com/webstore/detail/j2team-security/hmlcjjclebjnfohgmgikjfnbmfkigocc,42,27489,151KiB,0.1.13,"April 26, 2017",2861,4.88185948969,junookyo.blogspot.com,http://junookyo.blogspot.com,False,Chrome,facebook
fave - New Design for Facebook,https://chrome.google.com/webstore/detail/fave-new-design-for-faceb/pffbbpegcmjjkgkefanlcbklhgkmlfoj,43,4288,72.82KiB,1.1,"December 17, 2016",43,3.25581395349,how-to-use-it.blogspot.com,http://how-to-use-it.blogspot.com,False,Chrome,facebook
Facebook.com,https://chrome.google.com/webstore/detail/facebookcom/caeecmpcndhmmfdiepiifllocaloaoae,44,9776,23.46KiB,9.2.2,"September 26, 2015",94,4.06382978723,facebook.com,https://www.facebook.com,False,Chrome,facebook
Stop Ads for Facebook™,https://chrome.google.com/webstore/detail/stop-ads-for-facebook/odfahokplafhlibeoafadgpbfdipodpp,45,3703,390KiB,1.2.20,"February 26, 2017",24,4.04166666667,Web Apps,,False,Chrome,facebook
Friend Inviter PRO 2016 - Invite All Friends,https://chrome.google.com/webstore/detail/friend-inviter-pro-2016-i/jjgfeibcphdoepjnmplpgbnpkngnmdmn,46,19864,266KiB,2016.10.25.2,"October 27, 2016",382,4.25392670157,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Social Video Downloader,https://chrome.google.com/webstore/detail/social-video-downloader/amjcoehkcacocffpmhnefgoeanepjfkf,47,237785,681KiB,2.0,"February 24, 2017",16002,3.64191976003,freevideodownloader.online,http://freevideodownloader.online,False,Chrome,facebook
facetalk: send Facebook voice message on PC,https://chrome.google.com/webstore/detail/facetalk-send-facebook-vo/nkfgkeobegndodpppmklnahieknfhaja,48,15864,115KiB,1.0.4,"December 19, 2015",444,3.37387387387,codekiem.com,http://codekiem.com,False,Chrome,facebook
Messenger (Unofficial),https://chrome.google.com/webstore/detail/messenger-unofficial/mdapmeleikeppmfgadilffngabfpibok,49,193510,136KiB,2.2.4,"April 7, 2017",4947,4.11441277542,braginruslan200683,,False,Chrome,facebook
"Facebook Dark Theme: Reduce Glare, Eye Strain",https://chrome.google.com/webstore/detail/facebook-dark-theme-reduc/lajfangpadlplbjnkeaolhpkkpkcdmhk,50,1877,781KiB,1.3,"April 16, 2017",108,4.12962962963,https://userstyles.org,https://userstyles.org,False,Chrome,facebook
Video & GIF Downloader For Facebook,https://chrome.google.com/webstore/detail/video-gif-downloader-for/ajanondpapegkikdhmmhmoogcaajdokn,51,11544,118KiB,2.3.3,"April 5, 2017",110,3.86363636364,etaylib.com,http://etaylib.com,False,Chrome,facebook
My Social Media Custom Theme,https://chrome.google.com/webstore/detail/my-social-media-custom-th/aoplmgafblbhcgmbcgdjlgckefefmpbg,52,2271,385KiB,2.2,"April 15, 2017",28,4.42857142857,asad raza,,False,Chrome,facebook
QSearch,https://chrome.google.com/webstore/detail/qsearch/ffkoifhnfeoofalpnnohfdlomcgkamcn,53,22426,6.35MiB,7.0.5,"July 29, 2014",90,3.82222222222,app.qsearch.cc,http://app.qsearch.cc,False,Chrome,facebook
Disconnect Facebook™ pixel & FB™ tracking,https://chrome.google.com/webstore/detail/disconnect-facebook-pixel/nnkndeagapifodhlebifbgbonbfmlnfm,54,2213,70.27KiB,2016.10.29.1,"October 29, 2016",7,4.0,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Lost Circles - Facebook Graph Visualizer,https://chrome.google.com/webstore/detail/lost-circles-facebook-gra/ehpmfdlcppenimpibdifodjgfafkjhjl,55,3425,1.24MiB,2.2.6,"February 20, 2017",11,4.72727272727,lostcircles.com,http://lostcircles.com,False,Chrome,facebook
Facebook Demetricator,https://chrome.google.com/webstore/detail/facebook-demetricator/dbkgglbefgkimiadfjmgnkjmaoahephg,56,3188,94.13KiB,1.7.1,"July 21, 2016",23,4.30434782609,bengrosser.com,http://bengrosser.com,False,Chrome,facebook
SELEZIONA TUTTI su Facebook by TecnikGeek,https://chrome.google.com/webstore/detail/seleziona-tutti-su-facebo/fpfcoddfnkknmfeegophbippbpbccknb,57,7583,77.27KiB,5.5.5,"April 25, 2017",91,3.67032967033,pietrodefilippis.it,http://pietrodefilippis.it,False,Chrome,facebook
Xtra Pro - Obtain Real Emails From Facebook !,https://chrome.google.com/webstore/detail/xtra-pro-obtain-real-emai/cjcleooabldppkbdoeaiinlklaccfdai,58,8131,96.39KiB,2.0,"October 2, 2015",52,4.40384615385,www.xtra.pro,http://www.xtra.pro,False,Chrome,facebook
A User Finder for Facebook tool,https://chrome.google.com/webstore/detail/a-user-finder-for-faceboo/loindpnjhobmpflpacokkffaecemclgk,59,1563,44.74KiB,1.0.0.9,"September 15, 2015",40,4.5,www.auserfinder.com,http://www.auserfinder.com,False,Chrome,facebook
(for Facebook™ Group) Invite All Friends 2016,https://chrome.google.com/webstore/detail/for-facebook-group-invite/immdhcooknefiihnjcjenbhinlohelgf,60,1171,68.24KiB,2016.10.31.0,"October 31, 2016",47,4.29787234043,fbleadapp.com,http://fbleadapp.com,False,Chrome,facebook
Theme and Skin for Facebook,https://chrome.google.com/webstore/detail/theme-and-skin-for-facebo/fmpmanhnjcpdajcbjmjbhihhbagkinej,61,1632,194KiB,1.0.3,"November 1, 2013",32,4.09375,www.templah.com,http://www.templah.com,False,Chrome,facebook
Facebook Ad Highlighter,https://chrome.google.com/webstore/detail/facebook-ad-highlighter/mcdgjlkefibpdnepeljmlfkbbbpkoamf,62,5440,49.93KiB,0.1.4,"August 18, 2016",49,4.38775510204,grantstoreydev,,False,Chrome,facebook
Facebook Advanced Search - Find User Info,https://chrome.google.com/webstore/detail/facebook-advanced-search/gohepdenmnoijddphlfdaojicklmpckm,63,3506,6.47KiB,0.9,"February 20, 2017",21,4.38095238095,samuelgrieser,,False,Chrome,facebook
Facebook Friends Tracker,https://chrome.google.com/webstore/detail/facebook-friends-tracker/cnghoedoaldbfgcfjhmflaihgjnpoing,64,13740,27.27KiB,1.20,"January 8, 2016",78,3.61538461538,www.fbfriendstracker.com,http://www.fbfriendstracker.com,False,Chrome,facebook
"Discoverly for Gmail, LinkedIn, Facebook...",https://chrome.google.com/webstore/detail/discoverly-for-gmail-link/dijhcpbkalfgkcebgoncjmfpbamihgaf,65,27085,918KiB,1.8.7,"March 7, 2017",145,4.08965517241,discover.ly,http://discover.ly,False,Chrome,facebook
Facepad for Facebook™,https://chrome.google.com/webstore/detail/facepad-for-facebook/cgaknhmchnjaphondjciheacngggiclo,66,12141,65.38KiB,4.0,"November 21, 2012",500,4.748,www.mixesoft.com,http://www.mixesoft.com,False,Chrome,facebook
Share Button for Facebook™,https://chrome.google.com/webstore/detail/share-button-for-facebook/mfhbjcpbgeeoefooikceflkjappkjfbm,67,2779,49.04KiB,0.8,"March 30, 2017",23,4.08695652174,BrowserNative,https://browsernative.com/facebook-share-button/,False,Chrome,facebook
Download Facebook Album!,https://chrome.google.com/webstore/detail/download-facebook-album/fbedhblpfbdilhkdjfhcjdapmejealgi,68,7512,206KiB,1.0,"May 11, 2016",83,3.66265060241,fbalbum.net,http://fbalbum.net,False,Chrome,facebook
Music for Facebook,https://chrome.google.com/webstore/detail/music-for-facebook/ebpjgnfppnecnnaffbmfocapphedapfp,69,33112,1.14MiB,1.1.24,"April 14, 2017",1422,4.76090014065,muzekbox.com,http://muzekbox.com,False,Chrome,facebook
Pablo,https://chrome.google.com/webstore/detail/pablo/gfpibnlcombjoeejlongmihndgkpnjjo,70,44904,99.22KiB,1.2.1,"April 27, 2016",66,4.36363636364,buffer.com,http://buffer.com,False,Chrome,facebook
WiseStamp - Email Signatures for Gmail,https://chrome.google.com/webstore/detail/wisestamp-email-signature/pbcgnkmbeodkmiijjfnliicelkjfcldg,71,238555,577KiB,4.18.10,"April 18, 2017",1462,4.03830369357,wisestamp.com,http://wisestamp.com,False,Chrome,facebook
FDVT: Social Network Data Valuation Tool,https://chrome.google.com/webstore/detail/fdvt-social-network-data/blednbbpnnambjaefhlocghajeohlhmh,72,2462,70.01KiB,1.0.16,"March 17, 2017",9,4.22222222222,FDVT Team,http://www.fdvt.org,False,Chrome,facebook
Facebook Review on Any Website,https://chrome.google.com/webstore/detail/facebook-review-on-any-we/knlnhookpeoheicigpcefcajopekmmli,73,340,801KiB,8.1.4,"April 29, 2017",26,4.80769230769,https://yepmom.com,https://yepmom.com,False,Chrome,facebook
Emoji Keyboard (2016) by EmojiOne™,https://chrome.google.com/webstore/detail/emoji-keyboard-2016-by-em/ipdjnhgkpapgippgcgkfcbpdpcgifncb,74,361864,24.2MiB,1.7.2,"April 5, 2017",1348,4.27818991098,emojione.com,http://emojione.com,False,Chrome,facebook
