addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
XBOX News,https://chrome.google.com/webstore/detail/xbox-news/ecgbpfbipoanmhafjdlkojkgoiliddpo,81,409,409KiB,1.0,"April 9, 2016",6,4.16666666667,,,True,Chrome,news
"Towleroad - Gay News, LGBT News",https://chrome.google.com/webstore/detail/towleroad-gay-news-lgbt-n/nefhfalpgialobeagcmlmiogkcfncpce,82,282,6.37KiB,0.3,"March 10, 2016",2,5.0,www.towleroad.com,http://www.towleroad.com,True,Chrome,news
"365Scores - Live Scores,Sports News & Alerts",https://chrome.google.com/webstore/detail/365scores-live-scoresspor/nmpppefjehmjbiplimkfjeamnohldmko,83,74049,2.82MiB,1.8.7,"September 16, 2014",1965,4.58269720102,www.365scores.com,http://www.365scores.com,True,Chrome,news
Rss News Reader,https://chrome.google.com/webstore/detail/rss-news-reader/beimgkdigdafgekepgidmhegjjlacdii,84,772,52.25KiB,2.0,"March 31, 2017",3,5.0,https://rsshaberleri.com,https://rsshaberleri.com,True,Chrome,news
The Times of India News,https://chrome.google.com/webstore/detail/the-times-of-india-news/joealpjokoghlnmnifiegjidkmdblkgp,85,11968,297KiB,2.0.1,"September 24, 2013",3,3.33333333333,wips.com,http://wips.com,True,Chrome,news
Hyped News Amplifier,https://chrome.google.com/webstore/detail/hyped-news-amplifier/jaapjannjfdcklcgadbhiddhbelhhnkp,86,103,67.4KiB,1.8.2,"July 11, 2014",3,4.33333333333,andowebsit.es/blog/noteslog.com,http://andowebsit.es/blog/noteslog.com,True,Chrome,news
Trusted Times,https://chrome.google.com/webstore/detail/trusted-times/bggnkhjnkegimeddbfgolpngienhmkoa,87,156,2.35MiB,3.0.0.1,"April 28, 2017",2,5.0,trustedtimes.org,http://trustedtimes.org,True,Chrome,news
Breaking News,https://chrome.google.com/webstore/detail/breaking-news/hfmjlbbknfipfebllofjjejkepgggjkd,88,1678,127KiB,0.8,"November 7, 2013",15,3.93333333333,,,True,Chrome,news
Super Fake News,https://chrome.google.com/webstore/detail/super-fake-news/lpacoapeceioiffdjpdgeclepmdbdbac,89,232,3.12KiB,1.0,"March 17, 2013",8,3.875,,,True,Chrome,news
Hacker News +,https://chrome.google.com/webstore/detail/hacker-news-%2B/oieefcckcbbgniifdhhialgkmghahjgl,90,559,57.18KiB,1.5.6,"August 2, 2013",24,4.375,Jarques,http://jarqu.es/dev/HN+/,True,Chrome,news
Manchester United News,https://chrome.google.com/webstore/detail/manchester-united-news/mgfdljmgmkljcpckmbbciekpjgeabfbg,91,996,143KiB,0.1.30,"July 20, 2016",52,4.73076923077,kaistudios.com,http://kaistudios.com,True,Chrome,news
Sad News Headline,https://chrome.google.com/webstore/detail/sad-news-headline/gdaabfgjknafmlfndplaeincmlleblja,92,165,15.42KiB,1.1.1,"February 10, 2015",2,5.0,bingofuel,https://github.com/suw/sad-news-headline,True,Chrome,news
Hacker News Sidebar,https://chrome.google.com/webstore/detail/hacker-news-sidebar/ngljhffenbmdjobakjplnlbfkeabbpma,93,186,649KiB,1.0.18,"February 23, 2014",7,4.0,tedpak.com,http://tedpak.com,True,Chrome,news
LET'S GET RIGHT INTO THE NEWS,https://chrome.google.com/webstore/detail/lets-get-right-into-the-n/pcojmcjbbjfoiiamdcjhljiepjfbbkhc,94,4532,1.09MiB,1.0,"March 24, 2016",30,4.86666666667,,,True,Chrome,news
The Extension to Restore Sanity,https://chrome.google.com/webstore/detail/the-extension-to-restore/bggibicdeedcagmnibgoaggaciolkdhg,95,17388,63.99KiB,1.2.2,"April 15, 2013",13,3.53846153846,,,True,Chrome,news
News Hub,https://chrome.google.com/webstore/detail/news-hub/coineogammipnbobcjhjibfnclkbemhh,96,540,1.35MiB,1.0.0.1,"September 9, 2012",9,4.55555555556,Web Apps,http://www.cubiez.com,True,Chrome,news
"Gold Price Charts, Silver Price Charts & News",https://chrome.google.com/webstore/detail/gold-price-charts-silver/animfandjbomecobenkahkholebdiihi,97,1283,8.69KiB,2.2.3,"June 18, 2013",20,3.95,bullionsupermarket.com,http://bullionsupermarket.com,True,Chrome,news
Playerline News,https://chrome.google.com/webstore/detail/playerline-news/hffcbaephgajgojjhbacakijafflhcka,98,224,295KiB,0.9.7.3,"February 20, 2017",9,5.0,playerline.com,http://playerline.com,True,Chrome,news
Programming News,https://chrome.google.com/webstore/detail/programming-news/ggmnmmjaecmnabilobpplklijinifpip,99,366,57.79KiB,1.1,"March 13, 2013",1,3.0,mchaver,https://github.com/mchaver/Programming-News,True,Chrome,news
